#{"t_start": 1718207680.0404563, "env_id": "CustomHopper-source-v0"}
r,l,t
422.344291,146,163.125392
350.56564,127,163.308498
346.478592,129,163.50154
343.199872,132,163.693535
363.095083,141,163.899708
218.025505,91,164.027259
369.169849,131,164.214452
377.239419,138,164.40341
361.946484,133,164.578156
376.076921,140,164.76965
351.142751,131,164.952946
378.354451,137,165.136566
386.295165,138,165.320453
339.546009,125,165.493382
379.577062,135,165.674035
349.891725,131,170.429316
388.469089,143,170.654774
517.982047,175,170.935225
417.35773,147,171.152158
403.224371,137,171.351583
393.640868,140,171.551711
565.104109,189,171.817403
383.282253,140,172.006865
498.405711,178,172.250175
369.03753,136,172.437003
518.648325,183,172.719444
368.889681,129,172.916543
388.319712,140,173.121126
425.508904,146,179.085101
533.516232,178,179.364275
552.33456,181,179.642312
501.537283,169,179.97642
542.62218,178,180.246259
422.675872,151,180.47365
396.866008,138,180.662149
370.882767,132,180.846852
350.888675,136,181.059857
405.289959,138,181.300563
371.601915,128,181.503157
527.10861,173,181.762494
537.102083,179,182.047656
379.500266,139,182.262932
393.382391,139,187.502671
504.716862,175,187.762292
395.336955,140,187.973008
484.512693,163,188.197144
532.051936,175,188.450631
584.19885,190,188.715076
473.784138,159,188.925613
549.864658,183,189.172928
424.199379,147,189.37988
450.090555,152,189.615421
528.190967,174,189.844604
427.060429,146,190.039621
573.137715,193,195.308077
581.256982,189,195.606106
583.385298,185,195.8913
412.571287,150,196.113573
664.635872,209,196.411043
426.208307,159,196.676805
389.446339,148,197.079144
596.859213,191,197.691309
656.480153,211,198.108423
523.964471,178,198.508125
564.113597,191,199.101254
533.133358,176,205.87755
605.075442,212,206.235496
587.164409,198,206.538049
431.342411,156,206.792633
662.294608,207,207.201142
240.975754,107,207.506829
571.147097,196,207.852966
636.728664,205,208.270528
628.886494,205,208.607801
704.16335,231,209.10245
273.911226,119,209.274843
681.966184,225,215.087649
685.666117,214,215.394519
282.920105,116,215.55271
685.862834,224,215.870771
570.466034,185,216.134293
800.52672,289,216.534994
554.270361,182,216.790231
195.600632,87,216.920778
592.750603,194,217.183665
565.096908,182,217.42684
682.918092,220,217.824926
534.361403,175,223.370116
605.284143,193,223.695158
880.085671,276,224.188552
636.47518,204,224.487966
673.183784,210,224.793124
679.504823,213,225.101914
540.848771,172,225.376361
688.157581,215,225.686912
573.104141,183,225.953445
596.680225,195,226.229844
556.120341,184,231.499764
667.964082,213,231.797787
868.906402,294,232.235016
985.638366,305,232.686127
584.765588,190,232.952976
692.107567,220,233.267427
746.095287,240,233.612483
630.991131,203,233.890998
624.258626,195,234.159763
668.346006,207,239.402052
902.22588,276,239.884763
597.043807,192,240.194046
802.659091,253,240.583212
629.703809,201,240.867179
668.735937,210,241.172933
867.270509,273,241.550578
656.471577,209,241.857198
886.221967,272,242.243836
603.584223,195,247.776774
1024.735454,320,248.264012
609.639114,192,248.544763
1130.63881,359,249.114485
781.695546,256,249.479084
843.32888,262,249.87423
621.964434,231,250.229004
1010.275126,335,255.946981
813.587828,258,256.353788
729.977165,233,256.713291
733.677245,227,257.044027
693.032967,220,257.360826
994.510847,314,257.801661
678.849842,217,258.133321
654.374241,206,258.469401
502.834601,186,258.817154
659.954091,205,265.328445
691.431109,237,266.002111
908.808206,275,266.878898
662.567772,236,267.249795
676.099088,215,267.555865
736.509436,223,268.063619
869.374946,274,268.739852
687.089965,223,269.071819
1012.576433,324,269.53521
816.794893,261,275.186831
686.110996,216,275.511185
738.045299,230,275.858146
687.927701,222,276.177648
754.110547,230,276.514418
803.917148,247,276.870764
704.052983,225,277.262912
796.260413,247,277.636815
868.432844,272,283.157068
1298.270761,400,283.7453
756.379869,237,284.093241
1039.439462,323,284.560983
789.702512,240,284.897393
1059.399499,334,285.481002
723.746037,238,285.812475
664.520438,205,291.145169
1269.860933,446,291.78748
1012.566524,315,292.244747
1232.044413,386,292.857974
831.680244,258,293.272918
1201.68133,377,293.797223
224.901845,97,293.977767
1398.775442,448,299.70672
243.917796,104,299.869818
1031.284116,312,300.312069
1146.377844,410,300.891287
1097.953058,334,301.355884
957.08845,331,301.816907
669.88481,229,302.144655
1636.618849,500,307.790393
826.05854,248,308.142154
1284.553175,393,308.698013
994.584393,300,309.138844
1045.708279,324,309.622854
1078.603807,328,314.988067
833.946855,258,315.415024
1456.816448,500,316.152224
1396.804686,448,316.786327
767.869751,238,317.122948
745.663149,239,317.467127
1411.442489,500,323.464449
1101.02251,338,324.003656
817.125806,251,324.376805
1306.321128,403,324.946769
1493.325588,457,325.601757
920.893049,278,326.001537
821.987093,284,333.333469
1484.086276,500,334.052496
1245.820609,388,334.908388
999.990932,302,335.528105
1197.836221,369,336.160687
1458.025583,500,341.929068
1133.666348,341,342.410072
1225.82239,384,343.028161
1442.412477,440,343.664218
1402.129999,500,344.379249
1478.361002,458,349.987882
1122.171279,334,350.475149
906.649234,274,350.85597
854.63386,258,351.226717
834.108952,258,351.595136
1032.749287,324,352.108954
988.55723,295,352.556179
925.613223,280,358.297537
1396.524894,428,358.978193
1647.242117,500,359.764574
1039.063291,309,360.20436
1502.488293,500,360.963567
908.511661,300,366.41432
1029.83706,304,366.83264
799.302642,236,367.180171
274.597052,109,367.332668
1023.238474,308,367.834459
739.777165,222,368.147323
836.326873,243,368.493235
1218.170487,368,368.998858
966.046362,292,374.369617
1510.675135,458,375.012936
971.706427,291,375.468141
1218.9781,375,376.026
842.455092,252,376.396673
874.556953,259,376.768627
829.337976,242,388.886305
1111.490321,352,390.11853
969.407342,285,391.207903
1126.476596,326,391.907665
880.793087,256,392.492554
1475.727393,460,393.561034
582.103397,183,393.89252
796.521439,236,400.074088
1143.920646,330,401.30619
1122.133639,324,401.831217
1501.034132,457,402.479012
887.435534,267,402.855088
687.784103,209,403.152999
911.152021,274,403.561745
894.052649,269,409.017506
937.822091,311,409.452356
1573.674073,500,410.163938
1037.344983,345,410.651012
951.095826,289,411.052897
1624.394787,500,416.858476
681.277128,205,417.156464
745.838324,220,417.463601
1495.499492,500,418.224695
1531.688938,500,418.911216
1099.159219,320,419.362041
1122.012302,328,424.919191
1044.10159,310,425.362852
1059.577758,315,425.81023
628.020571,193,426.093
991.791897,291,426.498713
855.212027,246,426.847018
1190.01912,361,427.363559
1476.741866,500,433.106844
1151.103225,348,433.600595
987.092563,291,434.007017
1603.396855,500,434.719977
1468.422145,445,435.484892
1076.050915,313,441.111607
1447.442391,420,441.703793
831.205151,237,442.024663
1200.288451,346,442.520176
1594.417044,500,443.292505
1210.815202,360,443.797929
1526.536717,500,449.789516
1493.206005,500,450.492344
1495.691458,442,451.113077
1329.161545,414,451.69516
1207.156117,358,457.167644
1445.690338,500,457.874899
1654.560615,500,458.576494
1578.797395,476,459.232028
1292.249,378,459.768803
1435.438268,432,467.851896
916.77363,261,468.234112
1530.42144,452,468.892065
1083.657564,322,469.33673
1021.965633,300,469.761367
1404.332736,416,475.51997
1554.600349,500,476.247802
1566.678129,500,476.967639
1133.983531,340,477.472929
1074.085355,315,477.916568
1133.6882,330,478.376356
739.010415,220,483.754867
1001.438979,293,484.177173
964.788844,278,484.571451
1543.846893,446,485.194881
1549.723063,500,485.887523
1272.09495,380,491.517699
1215.500705,348,492.135045
1625.912727,476,492.891732
1199.050154,333,493.354684
1533.642918,500,494.067633
1454.176634,414,499.635159
1448.553361,416,500.255593
1587.176201,464,500.925198
1220.116244,357,501.421509
1693.476466,500,502.146651
1264.489731,368,507.699149
1591.299332,500,508.408823
892.90968,259,508.778887
1682.108311,500,509.4768
1206.228109,346,509.965966
1032.420969,297,510.387384
1244.22631,360,515.953683
957.082377,282,516.364569
1155.988702,329,516.8881
1024.246029,331,517.3501
1207.137144,346,517.824067
1373.86643,397,518.384423
1597.455536,500,524.32646
1511.139724,429,524.930736
1198.040036,339,525.478786
962.88479,281,525.864121
1524.002799,500,526.552984
1085.160813,312,532.113319
901.11204,252,532.483866
1684.007291,478,533.155241
1187.63135,335,533.613473
1513.469991,430,534.212177
1685.612911,500,539.729848
1221.483535,349,540.220155
927.90992,268,540.592644
1694.026522,500,541.270225
1496.759891,436,542.033464
1460.939404,413,551.855612
941.206209,272,552.243626
1709.759653,500,552.936221
1691.060002,500,553.705498
1452.687667,417,554.43357
1613.764068,500,560.084645
1681.922803,500,560.886918
1513.498946,443,561.505147
1664.765254,500,562.339144
1699.025087,500,568.710009
1175.690989,337,569.168982
998.428006,289,569.556046
1542.779255,447,570.269755
1602.439736,500,571.36041
1443.170197,405,579.504705
1515.899905,500,580.233706
1585.374511,500,581.025605
1657.712757,500,581.795797
1531.655255,500,587.566308
1613.887297,500,588.585952
1576.972835,500,589.995881
1565.846465,470,590.712013
1205.149163,336,591.173873
1425.948025,411,596.980184
